exporter,importer,post80 
Afghanistan,Ireland,0.0002
Afghanistan,Singapore,0.00545
Afghanistan,Colombia,0.0001
Afghanistan,Kuwait,0.0002
Afghanistan,Australia,0.0001
Afghanistan,Algeria,0.0001
Afghanistan,Malaysia,0.00085
Afghanistan,South Africa,0.0001
Afghanistan,Qatar,0.0001
Afghanistan,Turkey,0.00045
Afghanistan,Ecuador,0.0001
Afghanistan,Philippines,0.0001
Afghanistan,Bulgaria,0.00115
Afghanistan,Chile,0.0001
Afghanistan,Canada,0.0002
Afghanistan,Morocco,0.0001
Afghanistan,Jordan,0.0001
Afghanistan,Untd Arab Em,0.00015
Afghanistan,Indonesia,0.00065
Afghanistan,Norway,0.00015
Afghanistan,Spain,0.00035
Afghanistan,Nigeria,0.0002
Afghanistan,Greece,0.0002
Afghanistan,Sweden,0.0002
Afghanistan,Iran,0.00235
Afghanistan,Thailand,0.00115
Afghanistan,Denmark,0.0003
Afghanistan,Austria,0.00035
Afghanistan,Japan,0.0139
Afghanistan,Finland,0.00045
Afghanistan,Mexico,0.00045
Afghanistan,Brazil,0.0004
Afghanistan,Saudi Arabia,0.00045
Afghanistan,Netherlands,0.00125
Afghanistan,China,0.00365
Afghanistan,Italy,0.0009
Afghanistan,Senegal,0.0022
Afghanistan,USA,0.002
Afghanistan,India,0.00515
Afghanistan,UK,0.00385
Afghanistan,Pakistan,0.00705
Algeria,Finland,0.00075
Algeria,South Africa,0.0001
Algeria,Egypt,0.00025
Algeria,Syria,0.00155
Algeria,Costa Rica,0.00015
Algeria,Indonesia,0.0009
Algeria,Madagascar,0.00115
Algeria,Pakistan,0.0001
Algeria,Cuba,0.0008
Algeria,Ireland,0.00035
Algeria,Australia,0.00035
Algeria,Chile,0.0001
Algeria,Venezuela,0.0001
Algeria,India,0.00025
Algeria,Colombia,0.00015
Algeria,Oman,0.0001
Algeria,Malaysia,0.0002
Algeria,Philippines,0.0001
Algeria,Peru,0.0002
Algeria,Mauritius,0.0001
Algeria,Dominican Rp,0.00045
Algeria,China,0.00125
Algeria,Iraq,0.0002
Algeria,Norway,0.00025
Algeria,Sudan,0.00015
Algeria,Argentina,0.00075
Algeria,Denmark,0.0006
Algeria,Zimbabwe,0.0004
Algeria,Mali,0.0024
Algeria,Uganda,0.00055
Algeria,Nigeria,0.0003
Algeria,Iran,0.0003
Algeria,Thailand,0.0002
Algeria,Jamaica,0.0004
Algeria,Ecuador,0.0003
Algeria,Singapore,0.0003
Algeria,Cambodia,0.00075
Algeria,Sri Lanka,0.0005
Algeria,Togo,0.0004
Algeria,Panama,0.00035
Algeria,Sweden,0.0013
Algeria,Chad,0.00045
Algeria,Trinidad Tbg,0.0006
Algeria,Kenya,0.00045
Algeria,Greece,0.00095
Algeria,Jordan,0.00115
Algeria,Senegal,0.00075
Algeria,Seychelles,0.00095
Algeria,Burkina Faso,0.0009
Algeria,Mexico,0.00105
Algeria,Cote Divoire,0.0023
Algeria,Ghana,0.00105
Algeria,Nepal,0.001
Algeria,Sierra Leone,0.0016
Algeria,Benin,0.0011
Algeria,Bulgaria,0.00165
Algeria,Cyprus,0.00125
Algeria,Niger,0.0014
Algeria,Portugal,0.0016
Algeria,Morocco,0.00195
Algeria,Japan,0.0057
Algeria,Mozambique,0.00195
Algeria,Austria,0.00345
Algeria,Paraguay,0.00215
Algeria,Canada,0.0055
Algeria,Turkey,0.00485
Algeria,UK,0.00505
Algeria,Malta,0.00355
Algeria,Tunisia,0.00595
Algeria,Zambia,0.005
Algeria,Brazil,0.0055
Algeria,Netherlands,0.00955
Algeria,Spain,0.01525
Algeria,Suriname,0.01195
Algeria,Mauritania,0.01405
Algeria,Italy,0.0317
Algeria,USA,0.0322
Argentina,Burkina Faso,0.0001
Argentina,Austria,0.0002
Argentina,Chad,0.0001
Argentina,Cameroon,0.0001
Argentina,Afghanistan,0.0001
Argentina,Saudi Arabia,0.00025
Argentina,Sweden,0.0005
Argentina,Sudan,0.0002
Argentina,New Zealand,0.0003
Argentina,Finland,0.0004
Argentina,Norway,0.0002
Argentina,Iraq,0.0003
Argentina,Philippines,0.0002
Argentina,Untd Arab Em,0.0003
Argentina,Ireland,0.00045
Argentina,Australia,0.00035
Argentina,Barbados,0.0003
Argentina,Sierra Leone,0.0004
Argentina,Cote Divoire,0.0011
Argentina,Nepal,0.0004
Argentina,Kuwait,0.0003
Argentina,India,0.00035
Argentina,Greece,0.0003
Argentina,Zambia,0.0003
Argentina,Nigeria,0.00085
Argentina,Canada,0.0007
Argentina,Qatar,0.0008
Argentina,Ghana,0.00035
Argentina,Mauritania,0.0007
Argentina,Oman,0.0004
Argentina,Indonesia,0.0005
